Income_JobSatisfaction,MonthlyIncome,DailyRate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,OverTime_Yes,MaritalStatus_Single,Attrition_Yes
19191,6397,719,8,5,4,3,47,1,1,1
25096,6274,304,6,6,5,4,34,0,1,0
19859,19859,725,24,5,2,4,55,1,0,1
7587,7587,1434,10,10,7,9,36,0,1,0
17032,4258,715,5,4,3,2,52,0,0,0
17456,4364,575,5,2,2,0,26,0,0,0
13005,4335,657,11,8,7,1,29,0,0,0
5326,5326,1146,6,4,3,2,26,0,1,1
13120,3280,182,10,4,2,3,34,0,1,0
5485,5485,376,9,5,3,4,54,1,0,0
17368,4342,829,5,4,2,1,27,0,0,0
2782,2782,571,6,5,3,3,37,1,0,0
5980,5980,240,17,15,7,12,38,1,1,0
4381,4381,121,6,6,5,3,34,0,1,0
10288,2572,384,3,3,2,2,35,0,0,0
11499,3833,921,7,2,2,2,30,0,0,0
8488,4244,791,8,8,7,7,40,0,0,0
6500,6500,1111,6,3,2,2,34,0,0,0
73720,18430,570,24,24,7,9,42,0,0,0
1601,1601,1243,1,0,0,0,23,1,0,1
5388,2694,1092,1,1,0,0,24,0,0,0
9447,3149,1325,9,5,2,4,52,0,0,0
52917,17639,691,30,4,3,3,50,0,0,0
2319,2319,805,1,1,0,0,29,1,0,1
35073,11691,213,14,13,9,7,33,0,0,0
5324,5324,118,6,3,2,2,33,0,1,1
67008,16752,202,26,26,14,0,47,1,0,0
10456,5228,676,10,9,7,5,36,0,0,0
8100,2700,1252,10,10,7,7,29,0,0,0
38492,19246,286,40,31,15,8,58,1,1,1
7518,2506,1258,7,2,2,2,35,0,1,0
24248,6062,932,8,4,3,2,42,1,0,0
13146,4382,890,5,2,2,1,28,0,1,1
4286,2143,1041,8,5,2,4,36,0,0,0
18486,6162,859,14,14,13,8,32,0,0,0
15282,5094,720,10,1,0,0,40,0,1,0
27508,6877,946,12,0,0,0,30,1,1,0
6822,2274,252,1,1,0,0,45,0,1,0
8868,4434,933,10,9,8,8,42,0,0,0
6288,6288,471,13,4,3,2,38,0,0,0
10212,2553,702,6,5,2,3,34,0,1,0
30616,7654,1184,9,9,8,7,49,0,0,1
20640,5160,436,12,9,7,3,55,0,1,1
17159,17159,589,22,4,1,0,43,0,0,0
51232,12808,269,9,9,8,8,27,1,0,0
30663,10221,950,17,8,5,6,35,0,1,0
9558,4779,760,8,8,7,5,28,1,0,0
14948,3737,829,4,3,2,2,34,0,0,0
7098,2366,887,8,8,7,7,26,1,0,1
6824,1706,443,0,0,0,0,27,0,0,0
48921,16307,1318,29,20,6,17,51,0,0,0
11866,5933,625,10,5,2,3,44,0,1,0
3424,3424,180,6,4,3,1,25,0,1,0
4037,4037,586,9,9,8,8,33,0,0,0
2559,2559,1343,6,6,5,1,35,0,1,0
24804,6201,928,18,18,14,11,36,1,0,0
17612,4403,117,8,5,2,3,32,0,0,0
15044,3761,1012,10,5,4,3,30,0,0,0
43736,10934,661,35,5,2,4,53,1,0,0
10761,10761,930,18,5,4,2,45,1,0,0
15525,5175,638,9,5,3,3,32,0,0,0
55304,13826,890,31,9,8,0,52,0,0,0
19002,6334,342,9,1,0,0,37,0,0,0
19744,4936,1169,6,5,1,4,28,0,0,0
19100,4775,1230,4,2,2,2,22,0,0,0
11272,2818,986,10,3,2,2,44,1,0,0
10060,2515,1271,8,2,1,2,42,1,1,0
2342,2342,1278,6,5,4,3,36,0,0,0
4194,4194,141,5,5,3,3,25,1,0,0
32055,10685,607,17,17,14,15,35,1,0,0
4044,2022,130,10,10,2,8,35,1,0,1
9256,2314,300,4,3,0,2,32,0,0,0
4256,4256,583,5,5,2,3,25,0,0,0
3580,3580,1418,7,4,2,2,49,0,0,0
12648,3162,1269,6,5,2,4,24,0,0,0
13048,6524,379,10,10,8,3,32,0,0,0
5798,2899,395,3,2,2,2,38,0,0,0
20924,5231,1265,17,5,3,3,42,1,0,0
9424,2356,1222,8,6,4,2,31,1,0,0
8400,2800,341,5,3,2,2,29,1,0,1
47344,11836,868,28,2,0,2,53,0,0,0
21806,10903,672,16,13,10,8,35,0,0,0
11892,2973,1231,10,5,4,0,37,0,0,0
57100,14275,102,33,12,9,8,53,0,1,0
22248,5562,422,12,5,2,2,43,0,0,0
18148,4537,249,8,7,6,7,47,1,0,0
15284,7642,1252,10,10,0,9,37,1,1,0
17924,17924,881,31,31,6,7,50,0,0,0
20816,5204,1383,13,5,4,4,39,0,0,0
4554,2277,1075,7,4,3,3,33,1,0,0
11180,2795,374,1,1,0,1,32,1,1,1
10128,2532,1086,8,4,3,3,29,0,0,0
2559,2559,661,8,8,7,1,44,1,0,0
19632,4908,821,4,4,2,2,28,0,1,0
9520,2380,781,3,1,0,0,58,1,0,1
9530,4765,177,4,1,0,0,43,0,0,0
6132,2044,500,2,2,2,2,20,0,1,1
10772,2693,1427,1,1,0,0,21,0,1,1
26344,6586,1425,17,16,8,11,36,1,0,0
13176,3294,1454,3,3,2,2,47,1,1,0
12513,4171,617,4,3,2,2,22,1,0,1
11112,2778,1085,10,7,7,0,41,1,0,1
7131,2377,995,6,2,2,2,28,0,0,0
2404,2404,1122,8,2,2,2,39,1,0,1
6954,2318,618,1,1,1,0,27,0,1,0
4016,2008,546,1,1,0,0,34,0,0,0
18732,6244,462,10,5,4,3,42,0,1,0
2799,2799,1198,6,3,2,2,33,1,1,0
21104,10552,1272,24,6,0,4,58,1,0,0
6987,2329,154,13,7,7,2,31,0,0,0
16056,4014,1137,10,10,6,7,35,1,0,0
14806,7403,527,29,26,9,7,49,0,0,0
6777,2259,1469,13,0,0,0,48,0,0,0
20796,6932,1188,9,9,8,0,31,0,0,0
18712,4678,188,8,6,2,1,36,0,1,0
13582,13582,1333,15,15,12,11,38,0,0,0
4664,2332,1184,5,3,0,2,32,0,0,0
4826,2413,867,1,1,0,0,25,1,0,1
19410,9705,658,11,1,0,0,40,0,0,0
4294,4294,1283,7,7,7,7,26,0,1,0
4721,4721,263,20,18,13,17,41,1,1,0
7557,2519,938,16,11,8,9,36,0,1,0
4242,2121,419,1,1,0,0,19,1,1,1
2973,2973,129,1,1,0,0,20,0,1,1
23420,5855,616,10,9,7,5,31,1,0,0
7234,3617,1469,3,1,1,0,40,1,0,0
6725,6725,498,8,8,7,3,32,0,0,0
41300,10325,530,16,16,7,7,36,1,0,1
27796,6949,1069,6,5,0,4,33,0,1,0
31827,10609,625,17,14,1,7,37,0,0,1
8894,4447,805,9,9,7,8,45,0,0,0
8628,2157,1404,3,3,1,2,29,0,0,0
13803,4601,1219,5,5,2,0,35,0,0,0
68396,17099,1053,26,9,8,8,52,0,0,0
7437,2479,289,7,1,0,0,58,0,1,1
44556,14852,1376,22,17,13,2,53,0,0,0
21792,7264,231,10,8,4,7,30,0,0,0
22664,5666,152,6,5,3,3,38,1,1,0
31292,7823,882,12,10,9,8,35,0,0,0
23640,7880,903,9,8,7,7,39,0,1,0
26388,13194,1479,22,1,0,0,40,1,1,1
15201,5067,1379,20,19,10,7,47,1,0,0
20316,5079,1229,12,7,7,7,36,0,0,0
2321,2321,335,4,3,2,2,31,1,1,1
52332,17444,722,10,10,8,0,33,0,1,0
2404,2404,906,3,0,0,0,29,1,1,1
13808,3452,461,5,3,2,2,33,0,1,0
9080,2270,974,8,5,3,2,45,0,0,0
69596,17399,1126,32,5,4,3,50,0,0,0
10976,5488,827,6,6,5,2,33,1,0,0
58257,19419,840,21,18,16,11,41,0,0,0
5622,2811,1134,4,2,2,2,27,0,0,0
3633,3633,248,9,9,8,8,45,1,0,0
16652,4163,955,9,9,0,7,47,1,1,0
6396,2132,138,7,5,2,1,30,1,0,1
41919,13973,939,22,12,11,5,50,1,0,0
8052,2684,1391,3,2,1,2,38,0,0,0
32535,10845,566,13,8,7,7,46,0,0,0
13131,4377,1206,5,4,2,2,24,0,0,0
7486,3743,622,5,4,2,2,35,1,0,1
4148,4148,853,4,4,3,3,31,0,0,0
4204,1051,287,0,0,0,0,18,0,1,0
32217,10739,1441,22,10,7,8,54,0,0,0
31164,10388,583,16,16,10,1,35,1,0,0
11416,11416,153,9,8,7,7,30,1,0,0
2600,2600,1097,1,1,0,0,20,1,1,1
4844,2422,109,4,3,2,2,30,0,1,1
21888,5472,1066,8,8,7,3,26,0,0,0
2451,2451,217,4,4,3,1,22,0,0,0
12720,4240,277,19,2,2,2,48,0,1,0
32997,10999,1355,27,15,11,8,48,0,1,0
15009,5003,549,8,2,2,1,41,0,1,0
50968,12742,466,21,21,6,8,39,0,0,0
16908,4227,1055,4,3,2,2,27,0,0,0
15668,3917,802,3,3,2,2,35,0,0,0
54909,18303,265,21,1,0,0,42,0,0,0
9520,2380,804,8,1,0,0,50,0,0,0
54904,13726,715,30,5,3,3,59,1,1,0
9554,4777,1141,15,1,0,0,37,0,0,1
12770,6385,135,17,8,7,7,55,1,0,0
59919,19973,247,21,21,16,10,41,0,0,0
27444,6861,1035,19,1,0,0,38,1,1,0
4969,4969,265,7,2,2,2,26,0,1,1
79380,19845,266,33,32,14,9,52,0,0,1
53280,13320,1448,23,12,11,11,44,1,0,0
19041,6347,145,19,18,7,13,50,0,0,0
2743,2743,885,18,17,13,14,36,0,1,1
10880,10880,945,21,21,6,8,39,1,1,0
9368,2342,1038,3,2,2,2,33,0,1,0
70600,17650,1234,26,9,3,1,45,0,0,0
12075,4025,1109,10,8,7,7,32,0,1,0
38900,9725,216,16,15,1,9,34,0,0,0
47616,11904,1089,14,6,4,4,59,1,0,0
4354,2177,788,6,6,3,4,45,0,1,0
15050,7525,124,30,15,7,12,53,0,0,0
14502,4834,660,9,1,0,0,36,0,0,1
2042,2042,342,6,3,2,2,26,1,0,1
6660,2220,1333,1,1,1,0,34,1,0,0
2104,1052,1144,1,1,0,0,28,0,0,0
8463,2821,1186,8,2,2,2,38,0,0,0
57711,19237,1464,29,8,1,7,50,1,0,0
8214,4107,124,8,4,3,1,37,0,1,0
8396,8396,300,8,7,7,5,40,0,0,0
6021,2007,921,5,5,3,3,26,0,0,0
78508,19627,430,23,2,2,2,46,0,0,0
32058,10686,1082,13,9,4,0,54,0,0,0
8826,2942,1240,18,5,4,3,56,0,0,0
35432,8858,796,15,14,8,8,36,0,1,0
16756,16756,444,31,9,7,2,55,0,1,0
43192,10798,415,18,1,0,0,43,0,0,0
9292,2323,769,2,2,2,2,20,1,1,1
1416,1416,1334,1,1,0,0,21,0,1,1
4615,4615,1003,19,16,13,7,46,1,0,0
7383,2461,1323,18,10,0,7,51,1,0,1
8722,8722,1366,10,10,7,9,28,0,1,1
3955,3955,192,6,5,3,3,26,0,0,0
9957,9957,1176,7,6,2,2,30,0,0,0
10128,3376,509,10,10,6,8,41,0,0,0
26469,8823,330,20,19,9,9,38,0,0,0
41288,10322,1492,14,11,10,1,40,0,0,0
13863,4621,1277,3,3,2,2,27,0,0,0
21952,10976,1091,23,3,2,2,55,0,0,0
10980,3660,857,10,8,7,7,28,0,1,0
10482,10482,1376,24,20,6,6,44,0,0,1
28476,7119,654,9,3,2,2,33,0,0,0
9582,9582,1204,9,8,7,7,35,1,1,1
13524,4508,827,14,13,7,8,33,0,1,1
6621,2207,895,4,4,2,2,28,0,0,0
31024,7756,618,7,6,2,4,34,0,1,0
26776,6694,309,8,1,0,0,37,1,0,0
14764,3691,1219,7,7,7,6,25,1,0,1
7131,2377,1330,1,1,1,0,26,0,0,1
4626,2313,1017,5,2,2,2,33,1,1,1
17665,17665,469,23,22,6,7,42,0,0,0
5192,2596,1009,1,1,0,0,28,0,0,1
14184,4728,959,5,0,0,0,50,1,1,1
8604,4302,970,4,3,2,2,33,0,0,0
11916,2979,697,6,0,0,0,34,0,0,0
67540,16885,1262,27,5,4,1,48,0,1,0
16779,5593,1050,15,15,10,12,45,0,0,0
20890,10445,994,18,8,6,0,52,0,1,0
26220,8740,770,9,8,7,7,38,1,0,0
10056,2514,1107,11,7,5,7,29,0,0,0
15310,7655,950,10,9,7,7,28,0,0,0
52395,17465,406,23,12,9,9,46,0,0,0
14702,7351,130,10,1,0,0,38,0,1,0
10820,10820,1082,18,8,7,1,43,0,0,0
48676,12169,203,21,18,7,5,39,0,0,1
58878,19626,1308,21,20,7,9,40,0,1,0
4140,2070,984,2,2,2,2,21,1,1,0
13564,6782,439,9,5,4,3,39,0,1,0
31116,7779,217,18,11,9,9,36,0,1,0
11164,2791,793,3,2,2,2,31,0,0,0
6402,3201,1451,6,5,3,4,28,0,0,0
19872,4968,1182,5,5,2,2,35,0,0,0
26240,13120,174,22,9,8,3,49,0,0,0
12099,4033,1003,5,3,2,2,34,0,1,0
6582,3291,490,8,7,5,1,29,0,0,0
17088,4272,188,16,1,0,0,42,0,1,0
20224,5056,718,10,10,7,2,29,1,0,0
8532,2844,433,7,7,6,0,38,0,0,0
8109,2703,773,3,3,1,2,28,1,0,0
5712,1904,247,0,0,0,0,18,0,1,1
8224,8224,603,6,5,2,3,33,1,1,1
19064,4766,167,6,1,0,0,41,1,0,0
7830,2610,874,2,2,2,2,31,0,0,1
22924,5731,367,9,6,2,3,37,0,0,0
7617,2539,199,4,4,2,2,27,0,0,0
17142,5714,1400,6,6,5,3,34,0,0,0
12969,4323,528,6,5,4,4,35,0,1,0
7336,7336,408,11,11,8,10,29,0,0,1
40497,13499,593,20,18,7,13,40,0,1,0
13758,13758,481,22,21,9,14,42,1,1,1
5155,5155,647,9,6,4,5,42,0,1,0
6774,2258,982,10,8,0,7,35,0,0,0
7194,3597,477,6,4,3,2,24,0,1,0
10060,2515,1485,1,1,1,0,28,1,0,1
17680,4420,1384,8,8,7,7,26,0,0,0
19734,6578,852,10,10,3,4,30,0,0,0
17688,4422,902,16,1,1,0,40,1,0,0
20548,10274,819,15,7,7,4,35,0,0,0
5343,5343,669,14,13,9,9,34,0,1,0
9504,2376,636,2,2,2,2,35,0,0,0
16038,5346,1372,7,4,3,3,43,0,1,1
2827,2827,862,1,1,0,0,32,0,0,0
19943,19943,718,28,5,2,2,56,0,0,0
12524,3131,1401,10,10,8,8,29,0,0,0
2552,2552,645,1,1,1,0,19,0,1,0
13431,4477,1457,7,3,2,2,45,1,0,0
25896,6474,977,14,14,8,11,37,0,0,0
9099,3033,805,2,2,2,2,20,0,1,0
8808,2936,1097,6,6,4,2,44,1,1,1
55818,18606,1223,26,7,7,7,53,0,0,0
8672,2168,942,6,5,4,3,29,1,0,0
11412,2853,1256,1,0,0,0,22,1,0,1
17048,17048,1402,28,26,15,9,46,0,0,0
6870,2290,111,6,0,0,0,44,0,1,0
10800,3600,147,5,5,4,4,33,0,0,0
2107,2107,906,5,1,0,0,41,0,0,1
4115,4115,1329,8,4,3,3,30,0,0,0
8654,4327,1184,5,0,0,0,40,0,0,0
17856,17856,1421,32,2,2,2,50,0,0,0
3196,3196,1179,6,6,5,3,28,0,0,0
38162,19081,1450,25,4,2,3,46,0,0,0
8966,8966,1361,15,7,7,7,35,1,0,0
4420,2210,984,1,1,0,0,24,0,0,1
13617,4539,1146,10,10,7,1,33,0,0,0
8223,2741,917,7,7,7,7,36,0,0,0
10473,3491,853,10,10,7,9,30,0,0,0
18164,4541,200,20,20,11,17,44,0,1,0
10712,2678,654,2,2,1,2,20,0,1,0
29516,7379,150,12,6,3,4,46,0,0,0
6272,6272,179,10,4,3,3,42,0,0,0
20880,5220,696,12,11,7,9,60,1,0,0
5486,2743,116,2,2,2,2,32,0,0,0
14994,4998,1316,10,8,7,7,32,1,1,0
10252,10252,363,17,7,7,7,36,1,0,0
11124,2781,117,15,14,10,10,33,0,0,0
13704,6852,107,7,5,1,3,40,0,0,0
19800,4950,1356,5,4,3,1,25,0,1,0
7158,3579,1465,12,11,9,7,30,1,0,0
13191,13191,458,20,1,0,0,42,1,0,0
41508,10377,1212,16,13,2,12,35,1,0,0
2235,2235,1103,9,9,7,8,27,1,0,0
31506,10502,966,33,5,4,4,54,0,0,0
8044,2011,1117,10,10,5,7,44,0,0,0
3718,1859,504,1,1,1,0,19,1,1,1
15040,3760,1010,3,3,2,2,29,0,0,0
71116,17779,685,36,10,9,9,54,0,0,0
6833,6833,1332,6,6,5,1,31,1,0,0
6812,6812,1062,10,10,9,8,31,0,1,0
20684,5171,326,13,6,1,5,59,0,1,0
78960,19740,920,25,8,7,7,43,0,0,0
56133,18711,1098,23,1,0,0,49,0,0,0
7384,3692,469,12,11,10,7,36,0,0,0
5118,2559,969,7,1,0,0,48,0,1,0
7551,2517,1167,5,5,3,3,27,0,0,0
26492,6623,1329,6,6,0,0,29,1,0,0
73060,18265,715,25,1,0,0,48,0,1,0
64496,16124,694,9,7,7,7,29,0,0,0
7755,2585,1320,2,1,0,0,34,0,0,0
36426,18213,1099,26,22,9,10,44,0,0,0
25140,8380,536,10,9,8,8,33,1,0,0
11976,2994,265,1,1,0,1,19,1,1,0
3669,1223,373,1,1,0,1,23,0,0,0
4472,1118,599,1,1,0,0,25,1,1,1
11500,2875,583,8,8,5,2,26,1,1,0
37648,18824,1449,26,24,10,11,45,1,1,1
27154,13577,177,34,33,9,0,55,1,0,0
7875,2625,251,2,2,2,2,21,0,1,1
37578,18789,168,26,11,4,8,46,0,0,0
4538,4538,131,4,3,2,2,34,1,1,0
39694,19847,237,31,29,10,10,51,1,0,0
42048,10512,1429,25,9,7,4,59,0,1,0
8888,4444,135,15,11,8,10,34,0,0,0
6462,2154,791,5,4,2,2,28,1,1,0
19190,19190,1199,26,25,9,13,44,0,0,0
8980,4490,648,14,10,9,8,34,0,0,0
10518,3506,735,4,3,2,2,35,1,0,0
4744,2372,603,18,1,0,0,42,1,0,0
40924,10231,531,23,21,7,17,43,0,1,0
10820,5410,429,18,16,14,12,36,1,1,0
31912,7978,621,10,10,7,5,44,0,0,1
15468,3867,193,2,2,2,2,28,1,0,0
8514,2838,968,8,7,0,7,51,0,1,0
14085,4695,879,10,8,4,7,30,1,1,0
10017,3339,806,10,7,7,7,29,1,0,1
2080,2080,640,5,3,2,2,28,0,1,0
4192,2096,266,2,2,2,1,25,0,1,0
24836,6209,604,10,10,7,8,32,0,0,0
36122,18061,364,22,0,0,0,45,0,1,0
34246,17123,412,21,19,9,2,39,1,0,0
7116,2372,848,2,2,2,2,58,0,0,0
14649,4883,1089,10,10,4,1,32,0,0,1
3904,3904,360,6,5,2,3,39,0,1,1
18508,4627,1138,10,9,2,7,30,0,0,0
21282,7094,325,10,7,7,7,36,0,0,0
3423,3423,991,10,7,6,7,46,0,1,0
26696,6674,1476,10,9,8,5,28,0,0,0
16880,16880,1322,25,3,2,2,50,1,0,0
18188,9094,299,9,5,4,0,40,1,1,1
16892,8446,1030,10,8,7,7,52,1,1,1
11916,11916,634,9,9,1,8,30,1,0,0
13602,4534,524,9,8,7,7,39,0,1,0
29556,9852,587,10,10,8,6,31,1,0,0
12302,6151,256,19,19,2,9,41,0,1,0
4604,2302,1060,3,3,2,2,31,1,1,1
2362,2362,935,10,3,2,2,44,0,0,1
53583,17861,495,21,20,8,10,42,1,0,0
57561,19187,282,23,19,9,11,55,0,0,0
39434,19717,206,36,7,3,7,56,0,1,0
10632,3544,458,6,4,2,0,40,0,0,0
34000,8500,943,10,9,7,6,34,0,0,0
18644,4661,523,9,9,8,8,40,0,1,0
4103,4103,1018,10,9,3,7,41,0,0,0
12747,4249,482,9,9,6,1,35,1,1,0
28052,14026,770,33,33,9,10,51,1,0,0
6893,6893,1009,11,7,7,7,38,0,0,0
6125,6125,507,10,10,8,6,34,0,1,0
14676,3669,882,7,3,2,2,25,0,0,0
10008,10008,601,31,10,9,9,58,1,0,1
4774,2387,329,7,4,2,3,40,0,0,0
4639,4639,607,17,15,7,13,36,0,0,0
31592,7898,855,11,10,9,8,48,0,1,0
10136,2534,1291,5,1,0,0,27,0,0,0
26284,13142,1405,29,5,2,3,51,0,1,0
6444,1611,1124,0,0,0,0,18,0,1,0
21452,5363,817,10,9,7,0,35,0,0,0
20284,5071,793,8,6,2,0,27,0,1,0
41085,13695,267,24,19,7,8,55,1,1,1
26804,13402,1369,33,19,16,9,56,1,0,0
6087,2029,999,5,5,4,0,34,0,0,0
19131,6377,1202,15,12,11,8,40,0,0,0
16287,5429,285,10,8,7,7,34,0,0,0
11140,2785,703,3,1,0,0,31,0,1,1
13842,4614,662,5,4,2,2,35,1,0,1
7830,2610,693,4,4,2,3,38,0,0,0
26748,6687,404,14,14,11,11,34,0,1,0
4724,4724,736,5,5,3,4,28,0,0,0
18537,6179,330,10,10,2,7,31,1,0,1
24480,6120,1498,8,5,4,4,39,1,0,0
21192,10596,541,14,4,2,2,51,0,0,0
21868,5467,1200,12,6,2,3,41,1,0,0
8988,2996,1439,8,6,4,3,37,1,0,0
39992,9998,1111,8,5,4,2,33,0,0,0
8156,4078,499,4,3,2,2,32,1,0,0
32760,10920,1485,13,6,4,5,39,0,0,0
18696,6232,1372,6,3,2,2,25,0,0,0
39741,13247,322,24,5,3,2,52,1,0,0
12243,4081,930,20,20,7,8,43,1,1,0
23076,5769,205,6,6,2,4,27,1,0,0
7182,2394,135,8,8,2,7,27,1,1,1
15616,3904,683,5,4,3,1,26,0,1,0
16799,16799,1147,21,20,7,9,42,0,0,0
2950,2950,258,12,5,4,4,52,0,0,0
10887,3629,1462,8,3,2,2,37,0,1,0
37448,9362,200,10,2,2,2,35,0,1,0
12916,3229,949,7,3,2,2,25,0,0,0
3578,3578,652,8,7,7,7,26,0,1,0
7988,7988,332,10,10,9,9,29,0,1,0
4284,4284,1475,20,4,3,3,49,0,1,1
30212,7553,337,9,8,7,7,29,1,1,1
69312,17328,971,29,20,7,7,54,0,1,0
19701,19701,1055,32,9,8,5,58,1,0,0
58928,14732,1136,31,7,7,0,55,0,0,0
18556,9278,1174,15,5,4,1,36,1,1,0
4077,1359,667,1,1,0,0,31,0,1,1
4779,4779,855,8,3,2,2,30,0,0,0
32844,16422,182,9,3,2,0,31,0,1,0
2996,2996,560,10,4,3,3,34,0,0,0
2522,1261,202,1,1,0,0,31,0,1,1
2099,2099,1377,6,5,0,4,27,0,0,0
23240,5810,172,10,10,4,8,36,0,1,0
5647,5647,329,11,3,2,2,36,0,0,0
13680,3420,465,17,6,5,2,47,0,0,0
4400,4400,383,6,3,2,2,25,0,0,1
10500,3500,1413,7,6,5,3,37,0,1,0
2066,2066,1255,5,3,2,0,56,0,0,0
51507,17169,359,26,20,17,6,47,0,0,0
12486,4162,1476,5,5,4,3,24,1,0,0
36816,9204,601,7,4,3,3,32,0,0,0
6588,3294,401,7,5,4,2,34,0,0,0
6381,2127,1283,7,4,2,3,41,1,0,0
11925,3975,663,11,8,7,7,40,0,0,0
43172,10793,326,13,13,7,9,31,0,0,0
40384,10096,377,28,7,7,3,46,0,0,1
3646,3646,592,11,1,0,0,39,1,1,1
14892,7446,1445,10,10,8,7,31,0,1,1
10851,10851,1038,24,7,7,7,45,1,0,0
4218,2109,1398,8,3,2,2,31,0,1,0
14888,3722,523,7,2,2,2,31,1,0,1
37520,9380,1448,10,3,1,2,45,1,0,0
5486,5486,1221,15,2,2,2,48,0,0,0
8226,2742,1107,2,2,2,2,34,0,0,1
27514,13757,218,16,9,8,8,40,0,0,0
8463,8463,866,6,5,4,3,28,0,1,0
9486,3162,981,7,5,2,3,44,0,1,0
33196,16598,447,35,9,8,8,53,0,1,0
19953,6651,1495,20,3,2,2,49,0,0,0
7035,2345,896,8,3,1,2,40,0,0,0
6840,3420,1467,6,5,2,3,44,0,1,0
4373,4373,430,5,4,3,3,33,0,0,0
4759,4759,1326,15,13,9,12,34,0,1,0
15903,5301,1358,4,2,1,2,30,0,0,0
14692,3673,748,12,12,9,8,42,0,1,0
14304,4768,383,11,1,0,0,44,0,0,0
3822,1274,990,1,1,0,0,30,0,0,0
14700,4900,405,13,12,9,8,57,0,0,0
20932,10466,1490,29,8,7,7,49,0,0,0
17007,17007,829,16,14,8,9,34,0,0,0
8727,2909,1496,5,3,2,2,28,0,0,1
11530,5765,115,7,5,3,0,29,0,1,1
9198,4599,790,16,15,9,10,34,1,1,1
7212,2404,660,1,1,0,0,35,0,0,0
3172,3172,381,4,0,0,0,24,1,1,1
4066,2033,830,1,1,0,0,24,0,0,0
30627,10209,1193,16,2,2,2,44,1,1,0
25860,8620,1246,10,10,7,4,29,0,0,0
6192,2064,330,6,5,3,3,30,0,0,0
12105,4035,1229,4,3,2,2,55,1,0,0
7676,3838,1099,8,5,4,2,33,0,0,0
13773,4591,571,11,5,4,2,47,1,0,0
2561,2561,289,8,0,0,0,28,0,1,1
4689,1563,1423,1,1,0,0,28,0,0,0
4898,4898,467,5,4,2,3,28,0,1,0
4789,4789,271,10,3,2,2,49,0,0,0
6360,3180,410,4,3,2,2,29,0,0,0
13098,6549,1083,8,8,6,7,28,0,0,0
19164,6388,516,14,0,0,0,33,1,1,0
44976,11244,495,10,5,2,0,32,0,1,0
64128,16032,1050,26,14,9,12,54,0,0,0
2362,2362,224,11,9,7,7,29,0,1,1
16328,16328,136,24,20,6,17,44,0,0,0
16752,8376,1089,9,2,0,2,39,0,1,0
33212,16606,228,23,13,12,1,46,0,0,0
17212,8606,1029,11,11,8,3,35,0,1,0
6816,2272,507,5,4,3,2,23,0,1,0
2018,2018,676,15,5,4,0,40,0,1,1
21249,7083,971,10,10,9,6,34,1,0,0
12252,4084,561,7,7,2,7,31,0,1,1
57644,14411,333,32,32,6,9,50,1,1,0
6924,2308,1440,12,11,10,7,34,1,0,0
9682,4841,1210,4,1,0,0,42,0,0,0
17140,4285,674,10,10,8,7,37,0,0,0
9715,9715,441,9,7,7,7,29,0,0,0
8640,4320,575,5,5,3,2,33,0,1,0
8528,2132,950,8,5,4,3,45,0,0,0
40496,10124,288,24,20,8,9,42,1,0,0
5473,5473,1342,9,8,4,1,40,0,0,0
15621,5207,589,15,15,14,7,33,1,0,0
65748,16437,898,21,21,7,7,40,1,1,0
2296,2296,350,2,1,1,0,24,0,0,0
16276,4069,1142,8,2,2,2,40,1,0,0
14882,7441,538,10,10,8,7,45,0,0,0
7290,2430,1402,6,5,3,2,35,0,0,0
11756,5878,824,12,7,1,5,32,0,0,0
10576,2644,1157,7,3,2,2,36,1,1,0
19317,6439,492,18,8,7,7,48,0,0,0
7353,2451,598,5,1,0,0,29,0,0,0
6392,6392,1242,8,2,2,2,33,0,0,0
9714,9714,740,10,10,8,7,30,0,0,1
18231,6077,888,10,6,3,2,38,0,0,0
2450,2450,992,3,3,0,2,35,0,1,0
18500,9250,1288,9,4,2,3,30,0,0,0
2074,2074,104,1,1,0,0,35,1,0,1
40676,10169,607,34,33,7,9,53,0,0,1
9710,4855,903,7,5,2,4,38,0,0,1
4087,4087,1200,9,6,5,2,32,0,0,0
2367,2367,1108,10,8,2,6,48,0,0,0
11888,2972,479,1,1,0,0,34,0,1,0
78344,19586,685,36,36,6,13,55,0,0,0
21936,5484,1351,9,2,2,1,34,0,0,0
8244,2061,474,1,1,0,0,26,0,0,0
19848,9924,1245,10,9,8,7,38,0,0,0
8396,4198,437,8,3,2,2,38,0,1,0
20445,6815,884,15,1,0,0,36,0,1,0
4723,4723,1370,10,10,9,5,29,1,1,0
18426,6142,670,10,5,2,4,35,1,1,0
24711,8237,1462,11,7,6,6,39,0,0,0
35412,8853,995,6,6,4,3,29,0,0,0
57993,19331,264,27,1,0,0,50,1,0,0
6219,2073,977,4,2,2,2,23,0,0,0
5562,5562,1302,9,3,2,2,36,1,0,0
78452,19613,1059,24,1,0,1,42,0,1,0
10221,3407,750,10,10,9,8,35,0,0,0
15189,5063,653,8,8,2,7,34,0,0,0
4639,4639,118,5,5,4,2,40,0,0,0
9752,4876,990,8,6,4,2,43,0,0,0
10760,2690,1349,1,1,0,1,35,0,0,0
17567,17567,563,27,26,0,12,46,0,1,0
4816,2408,329,1,1,1,0,28,1,0,1
